KINVENT Physio 2.19.1,Devices: ,P126936 (FW 3.016) (250 Hz),P126695 (FW 3.016) (250 Hz)
Eyes Condition: ,Closed
Side: ,Left
Repetition:,1
Longitudinal Mean Cop Position (mm),-33.969
Lateral Mean Cop Position (mm),-4.404
Longitudinal Standard Deviation (mm),10.232
Lateral Standard Deviation (mm),4.956
Ellipse Surface (mm²),800.532
Total Displacement (mm),1795.871
Total Displacement AP (mm),1488.478
Total Displacement ML (mm),730.195
Mean Velocity (mm/s),59.553
Mean Velocity AP (mm/s),49.359
Mean Velocity ML (mm/s),24.214
Longitudinal Amplitude (mm/s),45.723
Lateral Amplitude (mm/s),26.596
Amplitude Ratio,0.582
Phase Plane AP (mm),55.020
Phase Plane ML (mm),25.698
Max Distance AP (mm),57.130
Max Distance ML (mm),21.252
,Heel,Tip
Weight Distribution (%),61.6,38.4

,K-Plate Left,,,,,K-Plate Left,
Time (sec),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,AP COP (y),ML COP (x)
0.38789999997615815,18.094984120965346,13.442814489599552,6.224553011626661,8.178626797770431,,0.6579,0.4481,
0.39189999997615815,18.098883019519047,13.443306305204064,6.235899779040087,8.186995610937934,,0.6577,0.4481,
0.39589999997615816,18.092692796404098,13.439993336055643,6.248252530390974,8.194710795635995,,0.6574,0.4481,
0.4,18.077569793318670,13.432178586725346,6.259750200791850,8.202116308250760,,0.6570,0.4482,
0.404,18.054251060253023,13.418227160420198,6.267478141403554,8.209286493646911,,0.6566,0.4483,
0.408,18.020082905595132,13.396318684332945,6.270712147869057,8.216125959911572,,0.6562,0.4483,
0.412,17.974269756242045,13.366820688897501,6.270675968062040,8.220595160616703,,0.6557,0.4483,
0.416,17.919845298018515,13.331717871423916,6.268632059351532,8.220152034896818,,0.6552,0.4483,
0.42,17.858003522249284,13.291307661663019,6.264196756583946,8.214816639935991,,0.6547,0.4484,
0.424,17.786332022763474,13.245155215403663,6.256485441247773,8.206889360745521,,0.6542,0.4485,
0.428,17.705363905657435,13.195056263724123,6.247239006743932,8.198010606581047,,0.6536,0.4485,
0.432,17.617570186580338,13.141672020355957,6.240095456496429,8.187305985499634,,0.6530,0.4486,
0.436,17.523980090672381,13.083197274687748,6.236234485336032,8.174056876764464,,0.6523,0.4488,
0.44,17.427230322989899,13.019819567224761,6.234005771136354,8.159380295380721,,0.6516,0.4490,
0.444,17.329565839236210,12.954247309999490,6.231407199982160,8.144107885106216,,0.6508,0.4491,
0.448,17.231730069831617,12.889555830623440,6.227762330605742,8.129020767939110,,0.6501,0.4493,
0.452,17.136070192868218,12.827776273589675,6.223164812347425,8.115783183129773,,0.6493,0.4494,
0.456,17.045295117136561,12.771072406472566,6.217298635865827,8.105315037262010,,0.6486,0.4496,
0.46,16.959975965341364,12.720495897313011,6.212263615100582,8.098293700767098,,0.6479,0.4497,
0.464,16.879724847600986,12.674789378544187,6.211167195186675,8.095875264570378,,0.6472,0.4498,
0.468,16.804597442610572,12.635314981952245,6.214993656438924,8.097826884669907,,0.6464,0.4500,
0.472,16.735446659081244,12.603570501615156,6.226433611773242,8.103500136979353,,0.6455,0.4503,
0.476,16.674527549132449,12.576334976336080,6.248498712888284,8.113814951905461,,0.6445,0.4506,
0.4798999999761581,16.622774321210692,12.550265380101095,6.278890548906121,8.130816579561474,,0.6434,0.4509,
0.4838999999761581,16.579255187867023,12.524865528890574,6.316073354012809,8.157332073927467,,0.6422,0.4511,
0.4878999999761581,16.543855072810310,12.501954226858970,6.362368419049646,8.195149129061894,,0.6407,0.4513,
0.49189999997615813,16.516149092529908,12.484362503891102,6.415248191940395,8.242346089200211,,0.6391,0.4515,
0.49589999997615813,16.495565604312755,12.473208363918149,6.470319616426352,8.294796540020862,,0.6375,0.4517,
0.49989999997615814,16.481836985427410,12.467503498559553,6.527477742457288,8.350110530554048,,0.6359,0.4519,
0.5038999999761582,16.473376922965585,12.465543071057763,6.586403552240371,8.407632651045116,,0.6344,0.4521,
0.5078999999761581,16.468307747014400,12.466028968966322,6.644540717315283,8.465550558318501,,0.6329,0.4522,
0.5118999999761581,16.465177621807563,12.467481480789049,6.699886778989715,8.522505414109759,,0.6315,0.4524,
0.5158999999761581,16.461869541561008,12.469054637923406,6.752581957233593,8.578408125535697,,0.6301,0.4525,
0.5198999999761581,16.458141123354700,12.471585134107112,6.803534461174140,8.631992955908748,,0.6288,0.4526,
0.5238999999761581,16.456873125673184,12.474483592242994,6.853237207460123,8.682048449052242,,0.6276,0.4528,
0.5278999999761581,16.459293572514540,12.476390963891848,6.901842962542211,8.728464052110702,,0.6264,0.4529,
0.5318999999761581,16.463746960914843,12.478214514905158,6.947922471917019,8.771057962110675,,0.6254,0.4530,
0.5358999999761581,16.467669545150777,12.480605233882711,6.987876709772205,8.809541074685582,,0.6244,0.4531,
0.5398999999761581,16.470410181004247,12.483207240275512,7.021030187268420,8.844743142798722,,0.6236,0.4532,
0.5438999999761581,16.474359699149780,12.486076585970752,7.050793413784307,8.878865203350873,,0.6229,0.4532,
0.5478999999761581,16.478721472399371,12.489560820948846,7.078968038097921,8.912307344589550,,0.6222,0.4532,
0.5518999999761581,16.480941826644703,12.493337450371172,7.106162857290180,8.943484173343627,,0.6215,0.4533,
0.5558999999761581,16.480613394094942,12.495902043132338,7.132305008662217,8.971361625827084,,0.6209,0.4533,
0.56,16.475845105892205,12.497115410978374,7.155106493209977,8.994455440538834,,0.6203,0.4534,
0.564,16.466061187362957,12.496986500749971,7.173545913851015,9.011523475372652,,0.6198,0.4535,
0.568,16.452511867844521,12.493901728537576,7.188836258628531,9.023548399382921,,0.6194,0.4537,
0.572,16.434985964387323,12.486856147421985,7.201265469032000,9.033152838104039,,0.6190,0.4538,
